project_id,project_name,category,status,latitude,longitude,coord_flag,start_year,completion_year,contract_amount,contractor,province,region,before_scene_count,after_scene_count,composite_valid,anywhere_ibi,anywhere_bui,anywhere_ndvi,anywhere_ndbi,anywhere_mndwi,anywhere_tcb,anywhere_tcg,anywhere_tcw,anywhere_ndti,broad_ibi,broad_bui,broad_ndvi,broad_ndbi,broad_mndwi,broad_tcb,broad_tcg,broad_tcw,broad_ndti,tight_ibi,tight_bui,tight_ndvi,tight_ndbi,tight_mndwi,tight_tcb,tight_tcg,tight_tcw,tight_ndti,before_tile_url,after_tile_url,signal_pattern,signal_interpretation,data_quality,ghost_probability,ghost_tier,coord_displacement,neighbour_mean_ibi,anomalous_vs_neighbourhood
17FL0017,"CONSTRUCTION OF FLOOD CONTROL STRUCTURE, MANJUMLAD, MATNOG, SORSOGON, BRGY. MANJUMLAD, MATNOG, SORSO",Flood Control and Drainage,Completed,12.601895,124.07375,ok,2017,2017,44090571.18,ALRO CONSTRUCTION & DEVELOPMENT CORP. (18361),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/e6458b2ccae12539f7c3aa0b37269e2e-19c7871d2009d5179d7cd7ae9dd3e8d2/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/66c76c32f680038e231f09057608868d-46ef5df1a94b0c4baf3df2b9dc686d7b/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
17PA0032,"REHABILITATION AND IMPROVEMENT OF DALAGUISEN FLOOD CONTROL, DALAGUISEN, LAGANGILANG, ABRA",Flood Control and Drainage,Completed,17.5812,120.7483,ok,2017,2017,42995568.45,R.U. AQUINO CONSTRUCTION AND DEVELOPMENT CORP. (FO (23507),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/3f88d9aa40c2c2af2c6fa577d356b427-3e5f226e59cbbf49c468a6bbb4bbe945/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/df9fdd4f8d9623f5c3469a9cbb4401d9-b1395bd92ccc839c7d774e4e8727e54d/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
17BI0094,"CONSTUCTION/REHABILITATION OF FLOOD MITIGATION FACILITIES ALONG MAJOR RIVER BASINS AND PRINCIPAL RIVERS-CAGAYAN RIVER BASIN-CONSTRUCTION OF MAGAT RIVER CONTROL, ABIAN SECTION (PHASE II), BAMBANG, NUEVA VIZCAYA",Flood Control and Drainage,Completed,16.425194,121.120861,ok,2017,2017,9259021.47,G.M. PAJARILLAGA CONSTRUCTION & SUPPLY (21760),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/d142c680bd16fb476fd7e60e2a2e7ae9-3b7f261f46c19c23b67d3e9687317b79/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/ee673e74c28abb9d69963875e749f395-0a05b95d78b1560c8999da7bfa970c6f/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
17EI0088,"CONSTRUCTION OF FLOOD MITIGATION STRUCTURES, CONSTRUCTION OF FLOOD CONTROL BALETE RIVER, GLORIA, ORIENTAL MINDORO",Flood Control and Drainage,Completed,12.677924,121.382511,ok,2017,2017,11208793.79,ALBERTO UY CONSTRUCTION & DEVELOPMENT (20924),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/1b088bb58aafb272a569200acb994dd4-c150ee6077bfad38ae9410cbe72e0745/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/813a2f101b26d9c949bd4bd47adbdcea-65a2943ff832c849afd5acb7d5103085/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
17AJ0024,"CONSTRUCTION OF PROTECTION WORKS ALONG INGALERA RIVER, LASIP-BUTAO CREEK (TRIBUTARY), MALASIQUI, PANGASINAN",Flood Control and Drainage,Completed,15.912776,120.459652,ok,2017,2017,15953494.5,A.C. SOLIVEN CONSTRUCTION & GENERAL MERCHANDISE (19278),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/1b0d8edb75cbec21441b70292843aa8f-942b78a4f9fc6bcf74a286915212d2c3/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/1d6c6beaf091fabe4ef937518f13e47c-a77047a55a40410fa470c65f62c15b31/tiles/{z}/{x}/{y},T-B-A-,No signal -- likely ghost project or coordinate error > 150m,sparse_before,0.5,suspect,ghost_or_lost_coord,,
18BI0009,ORGANIZATION OUTCOME 2: PROTECT LIVES AND PROPERTIES AGAINST MAJOR  FLOODS-FLOOD MANAGEMENT PROGRAM-CONSTRUCTION/MAINTENANCE OF FLOOD MITIGATION STRUCTURES AND DRAINAGES SYSTEM-CONSTRUCTION OF FLOOD CONTROL STRUCTURES-TUAO SOUTH-TUAO NORTH SECTION AL,Flood Control and Drainage,Completed,16.5709312,121.2586494,ok,2018,2018,18805920.03,C.D.J.  BUILDERS & CONSTRUCTION SUPPLIES (30347) / BRG CONSTRUCTION (21931),,,3,471,False,2946.312327790248,0.2994772866676229,0.289671246359669,0.2072686022409875,0.1270895407289319,0.4741112057164311,-0.0422868170961737,-0.0335867894142866,0.1414981933744344,-2.9014052281914267,0.0298075863423332,0.0795276171020884,0.1093352034444216,-0.2211087785987055,0.3637984704135896,-0.098853167947375,-0.1857993765740009,0.0221693892604886,10.717829585277045,0.1089931524505371,0.0151575771243717,0.1241507295749088,-0.1317201501541269,0.2749925275351176,-0.0905718063283586,-0.1254109050511241,-0.0374892684303949,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/260f4b639494598996870cb7e100885b-93c900dd8b01620b3adc1b35da518637/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/c8df25ca518f600eeb0e8cfee5d7280c-6914c7d3c5fe4a9c72b20d4e219317d5/tiles/{z}/{x}/{y},T+B-A+,Scattered signal -- possible partial construction,ok,0.5,suspect,confirmed_built,-0.7274445520055831,False
17CE0152,"CONSTRUCTION OF CONCRETE SLOPE PROTECTION WITH STEEL SHEET PILE ALONG BALIWAG RIVER, BRGY. SALVACION 2, LUPAO, NUEVA ECIJA",Flood Control and Drainage,Completed,15.8075288,120.8984697,ok,2018,2018,74414824.46,WIZARD CONCRETE SOLUTIONS AND CONSTRUCTION CORPORATION (FORMERLY: WIZARD TRADING & CONSTRUCTION) (21921) / SPECO BUILDERS INC. (FORMERLY VRF CONSTRUCTION) (15301),,,3,471,False,1331.3383562020815,0.0738843221869042,0.8192466283667343,0.1661216633322408,-0.2009309468740074,0.6128443218186498,0.1584289995308965,-0.1435876128543168,0.1733914993183978,15.58462457742442,-0.357977124593075,0.362686173896768,0.0047090493036931,-0.4574167489213753,0.4425752325790241,-0.0068724989676219,-0.2613556910618196,0.0587183051156638,0.7135471131945254,-0.3326146744934257,0.3222335004024348,-0.0103811740909909,-0.3729278187643592,0.4509762712184395,-0.0282497296703003,-0.237492650947968,0.028233814632601,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/e32667ba680cf8f0d799d80526b521e5-f3cd26a5ca00a023ad5c156d80789fcb/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/68ab7e37101923abbf3f081637781faf-d574d3604b10fd3bc91fd2a14cbdaebb/tiles/{z}/{x}/{y},T+B+A+,Built at coordinate -- construction confirmed,ok,0.5,suspect,confirmed_built,-0.7274445520055831,False
18AA0105,"REHAB. OF CANAL LINING, BRGY. 16, SAN JACINTO, LAOAG CITY, ILOCOS NORTE",Flood Control and Drainage,Completed,18.1947133,120.5965033,ok,2018,2018,1949795.18,ABEIAN CONSTRUCTION (32936),,,3,471,False,200.9270744141236,0.3231727778993035,0.2827586094332695,0.3228977110715922,0.0154577550593961,0.8399270813137292,-0.0439357311487198,-0.1184173765152692,0.3304278823637138,7.275262123631817,0.0797132083731752,0.0670625056751463,0.1467757140483214,-0.2845661511518443,0.364066223681197,-0.1138925392008438,-0.2093530772777931,0.0510004261179099,30.37165090281625,0.0904902318064043,0.0224566091339883,0.1129468409403926,-0.1965353658573369,0.37296360290352,-0.1229927877136608,-0.1780316780431163,0.0362363024910477,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/e0fbe3748933bcf7e1b6a1fe512c3960-c66699ce9356ff804d1a9fee8a85689a/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/eb45d293c28d79b2adb8a5b7221c9a4c-af6ed5712444a5b6ce1adb5e21c59721/tiles/{z}/{x}/{y},T+B+A+,Built at coordinate -- construction confirmed,ok,0.5,suspect,confirmed_built,-0.7274445520055831,False
18CG0061,"CONSTRUCTION OF DRAINAGE SYSTEM, STA. LUCIA, CITY OF SAN FERNANDO, PAMPANGA",Flood Control and Drainage,Completed,15.0238299,120.6915549,ok,2018,2018,1872919.7,GEOHEART CONSTRUCTION & TRADING (33316),,,3,471,False,76.47360489404056,0.0863109096193782,0.7550498639302227,0.163823686666953,-0.079655428997022,0.5404879606425762,0.133412207083404,-0.1090131682854145,0.1905419973212228,-4.717608132358341,-0.2918293300259938,0.2838782988208582,-0.0079510312051357,-0.3308198667574291,0.4073006333233531,-0.0425357312799413,-0.2051529279982185,0.0301116949320481,-3.712969941934601,-0.302162417282842,0.2816010719078162,-0.0205613453750257,-0.3043315809769277,0.4189572361752137,-0.0496458808231642,-0.2034510633534685,0.0106802110029392,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/2e244e8b3e1754a570603bc75cc6ac2c-95b87e35f2cdbe39ec28ced9183e7d0b/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/34cdfa0e679a92be503a3cb85765f636-058dd219f4d8a6e9c589adc99304e942/tiles/{z}/{x}/{y},T-B-A+,Built within 150m but coordinate displaced (verify GPS first),ok,0.5,suspect,coord_displaced,-0.7274445520055831,False
18CG0207,"REHABILITATION/IMPROVEMENT OF CRITICAL SECTION OF PAMPANGA RIVER BANK ALONG SAN PEDRO, SAN SIMON, PAMPANGA",Flood Control and Drainage,Completed,15.0123715,120.7788165,ok,2018,2018,37220662.35,FERDSTAR BUILDERS INC. (4965),,,3,471,False,11.28288704546692,0.4376395402703468,0.7636819649573232,0.1766951581058985,0.7371854525224416,0.4558039600938558,0.1130174045648425,0.0311766503091901,0.2288384614680647,-1.2443491671785545,-0.2372147012596612,0.1424665856548592,-0.0947481156048017,-0.0075589329051754,0.2652491497779702,-0.025399048932964,-0.1033867747364773,-0.0881641307825449,1.269312216146432,-0.4511170627661326,0.314905709374798,-0.1362113533913346,-0.1580040056850186,0.3131834732191851,-0.0071322966851773,-0.1150513237820873,-0.0732137569379872,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/e0f4dddae1dc342f7f4e4d7e797d6e58-b500cafc28db2f4df562f6c2ae48be21/tiles/{z}/{x}/{y},https://earthengine.googleapis.com/v1/projects/ee-fragotyron/maps/cb9e7b1afbccf7a665ff768390ee4fb4-0acd5c85f812714a89b29e293219110b/tiles/{z}/{x}/{y},T+B-A+,Scattered signal -- possible partial construction,ok,0.5,suspect,confirmed_built,-0.7274445520055831,False
