project_id,project_name,category,status,latitude,longitude,coord_flag,start_year,completion_year,contract_amount,contractor,province,region,before_scene_count,after_scene_count,composite_valid,tight_ibi,tight_bui,tight_ndvi,tight_ndbi,tight_mndwi,tight_tcb,tight_tcg,tight_tcw,tight_ndti,broad_ibi,broad_bui,broad_ndvi,broad_ndbi,broad_mndwi,broad_tcb,broad_tcg,broad_tcw,broad_ndti,anywhere_ibi,anywhere_bui,anywhere_ndvi,anywhere_ndbi,anywhere_mndwi,anywhere_tcb,anywhere_tcg,anywhere_tcw,anywhere_ndti,before_thumb_url,after_thumb_url,signal_pattern,signal_interpretation
17FL0017,"CONSTRUCTION OF FLOOD CONTROL STRUCTURE, MANJUMLAD, MATNOG, SORSOGON, BRGY. MANJUMLAD, MATNOG, SORSO",Flood Control and Drainage,Completed,12.601895,124.07375,ok,2017,2017,44090571.18,ALRO CONSTRUCTION & DEVELOPMENT CORP. (18361),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/8e49da430532271f1332fcd69c8ffc27-09b39e035c129cdce3e074f434ef9ba1:getPixels,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/b20979e2f704f1ab07f5a1cfd19a8b47-121dda65c3826509bee15514facdfe8e:getPixels,T-B-A-,No signal -- likely ghost project or coordinate error > 150m
17PA0032,"REHABILITATION AND IMPROVEMENT OF DALAGUISEN FLOOD CONTROL, DALAGUISEN, LAGANGILANG, ABRA",Flood Control and Drainage,Completed,17.5812,120.7483,ok,2017,2017,42995568.45,R.U. AQUINO CONSTRUCTION AND DEVELOPMENT CORP. (FO (23507),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/85c29048618086dc3769f60fc9d654ba-580dd30c2e90e8cb421d847061a396c6:getPixels,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/1d5a215077d8df4b1dd7274ae376d68f-c2369f37ba9c8cff44ea14a381410dcb:getPixels,T-B-A-,No signal -- likely ghost project or coordinate error > 150m
17BI0094,"CONSTUCTION/REHABILITATION OF FLOOD MITIGATION FACILITIES ALONG MAJOR RIVER BASINS AND PRINCIPAL RIVERS-CAGAYAN RIVER BASIN-CONSTRUCTION OF MAGAT RIVER CONTROL, ABIAN SECTION (PHASE II), BAMBANG, NUEVA VIZCAYA",Flood Control and Drainage,Completed,16.425194,121.120861,ok,2017,2017,9259021.47,G.M. PAJARILLAGA CONSTRUCTION & SUPPLY (21760),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/b7b67408752ae71a8747e6fc1e83103e-f90a4284a42a82f164364a9d83282d5e:getPixels,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/a91daa2130e5ea91d1c8e2bd93b0fa01-11e1093425ee06d9cde7008188552aad:getPixels,T-B-A-,No signal -- likely ghost project or coordinate error > 150m
17EI0088,"CONSTRUCTION OF FLOOD MITIGATION STRUCTURES, CONSTRUCTION OF FLOOD CONTROL BALETE RIVER, GLORIA, ORIENTAL MINDORO",Flood Control and Drainage,Completed,12.677924,121.382511,ok,2017,2017,11208793.79,ALBERTO UY CONSTRUCTION & DEVELOPMENT (20924),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/c0e5126af459d2c52d97d245e2309750-ef97ea570310fe8974f910db77b7a276:getPixels,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/63676016fdf3418dcc63ed1e7b667290-fe500ce0258470f07455c54cdaa30da0:getPixels,T-B-A-,No signal -- likely ghost project or coordinate error > 150m
17AJ0024,"CONSTRUCTION OF PROTECTION WORKS ALONG INGALERA RIVER, LASIP-BUTAO CREEK (TRIBUTARY), MALASIQUI, PANGASINAN",Flood Control and Drainage,Completed,15.912776,120.459652,ok,2017,2017,15953494.5,A.C. SOLIVEN CONSTRUCTION & GENERAL MERCHANDISE (19278),,,0,3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/7c9993d32b88a9ae88bbf9f74196e9e5-b000e76684df858c496cde480d221963:getPixels,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/76c2f36ac6cc70424a19d4e0dd732218-dc5e5005c1ca9a9a63ec95b8c309e0c1:getPixels,T-B-A-,No signal -- likely ghost project or coordinate error > 150m
18BI0009,ORGANIZATION OUTCOME 2: PROTECT LIVES AND PROPERTIES AGAINST MAJOR  FLOODS-FLOOD MANAGEMENT PROGRAM-CONSTRUCTION/MAINTENANCE OF FLOOD MITIGATION STRUCTURES AND DRAINAGES SYSTEM-CONSTRUCTION OF FLOOD CONTROL STRUCTURES-TUAO SOUTH-TUAO NORTH SECTION AL,Flood Control and Drainage,Completed,16.5709312,121.2586494,ok,2018,2018,18805920.03,C.D.J.  BUILDERS & CONSTRUCTION SUPPLIES (30347) / BRG CONSTRUCTION (21931),,,3,471,False,10.717829585277045,0.10899315245053712,0.015157577124371751,0.12415072957490886,-0.13172015015412694,0.2749925275351176,-0.09057180632835861,-0.12541090505112412,-0.03748926843039493,-2.9014052281914267,0.029807586342333207,0.07952761710208843,0.10933520344442164,-0.22110877859870556,0.3637984704135896,-0.09885316794737507,-0.18579937657400097,0.02216938926048866,2946.312327790248,0.29947728666762297,0.28967124635966907,0.2072686022409875,0.12708954072893194,0.4741112057164311,-0.04228681709617378,-0.033586789414286625,0.14149819337443448,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/dfec592ef7fe6b799e269c259d374f1f-ba9f0a77c4e6d51d196297ec44cd66ca:getPixels,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/26cf618c8f33071abb5ae776503cf48d-86b1e855c6a87cdcd404f2b112d78750:getPixels,T+B-A+,Scattered signal -- possible partial construction
17CE0152,"CONSTRUCTION OF CONCRETE SLOPE PROTECTION WITH STEEL SHEET PILE ALONG BALIWAG RIVER, BRGY. SALVACION 2, LUPAO, NUEVA ECIJA",Flood Control and Drainage,Completed,15.8075288,120.8984697,ok,2018,2018,74414824.46,WIZARD CONCRETE SOLUTIONS AND CONSTRUCTION CORPORATION (FORMERLY: WIZARD TRADING & CONSTRUCTION) (21921) / SPECO BUILDERS INC. (FORMERLY VRF CONSTRUCTION) (15301),,,3,471,False,0.7135471131945254,-0.3326146744934257,0.3222335004024348,-0.010381174090990928,-0.3729278187643592,0.45097627121843953,-0.02824972967030032,-0.23749265094796806,0.02823381463260109,15.58462457742442,-0.35797712459307507,0.36268617389676805,0.004709049303693127,-0.45741674892137535,0.4425752325790241,-0.006872498967621974,-0.2613556910618196,0.05871830511566385,1331.3383562020815,0.07388432218690424,0.8192466283667343,0.16612166333224088,-0.20093094687400745,0.6128443218186498,0.15842899953089654,-0.14358761285431682,0.17339149931839784,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/186c5287b7c82bf9dfd3c4268bb11fcc-365717d10472a9f8009643bda0001536:getPixels,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/678a98344cbfc2680afdd5ac27a59a69-b1101678acaf3929b6a474985a0b1ef9:getPixels,T+B+A+,Built at coordinate -- construction confirmed
18AA0105,"REHAB. OF CANAL LINING, BRGY. 16, SAN JACINTO, LAOAG CITY, ILOCOS NORTE",Flood Control and Drainage,Completed,18.1947133,120.5965033,ok,2018,2018,1949795.18,ABEIAN CONSTRUCTION (32936),,,3,471,False,30.37165090281625,0.09049023180640435,0.02245660913398833,0.11294684094039266,-0.1965353658573369,0.37296360290352,-0.12299278771366086,-0.17803167804311634,0.03623630249104772,7.275262123631817,0.07971320837317522,0.0670625056751463,0.1467757140483214,-0.2845661511518443,0.36406622368119707,-0.11389253920084386,-0.2093530772777931,0.0510004261179099,200.92707441412358,0.32317277789930354,0.2827586094332695,0.32289771107159226,0.01545775505939616,0.8399270813137292,-0.0439357311487198,-0.11841737651526928,0.33042788236371384,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/7da565475e8e3f2a963832240646fd05-995182072d982ee1966d1ddd98336722:getPixels,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/cae1f0e82dc74d18935d6c0e6fe8a5f6-57b1448f94c9e931e59bc990ec907628:getPixels,T+B+A+,Built at coordinate -- construction confirmed
18CG0061,"CONSTRUCTION OF DRAINAGE SYSTEM, STA. LUCIA, CITY OF SAN FERNANDO, PAMPANGA",Flood Control and Drainage,Completed,15.0238299,120.6915549,ok,2018,2018,1872919.7,GEOHEART CONSTRUCTION & TRADING (33316),,,3,471,False,-3.712969941934601,-0.302162417282842,0.28160107190781625,-0.02056134537502579,-0.30433158097692775,0.4189572361752137,-0.04964588082316424,-0.20345106335346858,0.010680211002939234,-4.717608132358341,-0.2918293300259938,0.2838782988208582,-0.007951031205135706,-0.33081986675742914,0.4073006333233531,-0.04253573127994137,-0.2051529279982185,0.03011169493204811,76.47360489404056,0.08631090961937823,0.7550498639302227,0.16382368666695304,-0.07965542899702208,0.5404879606425762,0.13341220708340404,-0.10901316828541459,0.1905419973212228,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/0d115e3ca54b99324aedfe5f9fbf23e4-b985aba95a0aa175250da6524fcb4086:getPixels,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/d21899c637d2d3e4324d6db09a42b90e-96e6dba0fb22a93a9953f504e35b1e4c:getPixels,T-B-A+,Built within 150m but coordinate displaced (verify GPS first)
18CG0207,"REHABILITATION/IMPROVEMENT OF CRITICAL SECTION OF PAMPANGA RIVER BANK ALONG SAN PEDRO, SAN SIMON, PAMPANGA",Flood Control and Drainage,Completed,15.0123715,120.7788165,ok,2018,2018,37220662.35,FERDSTAR BUILDERS INC. (4965),,,3,471,False,1.269312216146432,-0.45111706276613267,0.314905709374798,-0.1362113533913346,-0.15800400568501866,0.31318347321918516,-0.007132296685177358,-0.11505132378208732,-0.07321375693798722,-1.2443491671785545,-0.23721470125966124,0.14246658565485926,-0.09474811560480177,-0.007558932905175427,0.26524914977797026,-0.025399048932964026,-0.1033867747364773,-0.08816413078254498,11.282887045466921,0.43763954027034685,0.7636819649573232,0.17669515810589853,0.7371854525224416,0.4558039600938558,0.11301740456484258,0.031176650309190156,0.22883846146806477,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/77bcb104a796ddada1cfea6d03daee22-b54ca1c07f0f1f236362271191d26403:getPixels,https://earthengine.googleapis.com/v1/projects/ee-fragotyron/thumbnails/31db0a046fb0396811338fbe72a327f8-a522de1f6aa21429eec15f588b795f60:getPixels,T+B-A+,Scattered signal -- possible partial construction
